time_h,renewable_power_kw,baseline_electrolyzer_power_kw,optimized_electrolyzer_power_kw,hydrogen_demand_kg_h
8.283333333333333,37.636429431778,37.636429431778,21.587129334705065,0.875
8.3,38.04675709623692,38.04675709623692,22.03682366297047,0.875
8.316666666666666,38.45767822159574,38.45767822159574,22.47152050237821,0.875
8.333333333333334,38.86916510966418,38.86916510966418,22.899831404239844,0.875
8.35,39.281190087818736,39.281190087818736,23.337819172437523,0.875
8.366666666666667,39.69372550965806,39.69372550965806,23.780341314349105,0.875
8.383333333333333,40.10674375567642,40.10674375567642,24.231020710789046,0.875
8.4,40.52021723395614,40.52021723395614,24.662508957529816,0.875
8.416666666666666,40.934118380877024,40.934118380877024,25.10193578437181,0.875
8.433333333333334,41.34841966184356,41.34841966184356,25.53069144654387,0.875
8.45,41.76309357202771,41.76309357202771,25.973704356285182,0.875
8.466666666666667,42.17811263712848,42.17811263712848,26.415448488711835,0.875
8.483333333333333,42.59344941414603,42.59344941414603,26.85772818629056,0.875
8.5,43.00907649217125,43.00907649217125,27.302124740957492,0.875
8.516666666666666,43.42496649318899,43.42496649318899,27.73177947699036,0.875
8.533333333333333,43.84109207289574,43.84109207289574,37.56753775029877,0.875
8.55,44.25742592152999,44.25742592152999,37.98679136455122,0.875
8.566666666666666,44.673940764715844,44.673940764715844,38.412883231565054,0.875
8.583333333333334,45.09060936431896,45.09060936431896,45.09060936431896,0.875
8.6,45.50740451931405,45.50740451931405,45.50740451931405,0.875
8.616666666666667,45.924299066664545,45.924299066664545,45.924299066664545,0.875
8.633333333333333,46.34126588221261,46.34126588221261,46.34126588221261,0.875
8.65,46.758277881580526,46.758277881580526,46.758277881580526,0.875
8.666666666666666,47.17530802108172,47.17530802108172,47.17530802108172,0.875
8.683333333333334,47.59232929864227,47.59232929864227,47.59232929864227,0.875
8.7,48.009314754731484,48.009314754731484,48.009314754731484,0.875
8.716666666666667,48.42623747330202,48.42623747330202,48.42623747330202,0.875
8.733333333333333,48.8430705827384,48.8430705827384,48.8430705827384,0.875
8.75,49.259787256814555,49.259787256814555,49.259787256814555,0.875
8.766666666666666,49.67636071565876,49.67636071565876,49.67636071565876,0.875
8.783333333333333,50.09276422672724,50.09276422672724,50.09276422672724,0.875
8.8,50.508971105784475,50.508971105784475,50.508971105784475,0.875
8.816666666666666,50.92495471789107,50.92495471789107,50.92495471789107,0.875
8.833333333333334,51.34068847839877,51.34068847839877,51.34068847839877,0.875
8.85,51.75614585395124,51.75614585395124,51.75614585395124,0.875
8.866666666666667,52.17130036349212,52.17130036349212,52.17130036349212,0.875
8.883333333333333,52.58612557927819,52.58612557927819,52.58612557927819,0.875
8.9,53.000595127899096,53.000595127899096,53.000595127899096,0.875
8.916666666666666,53.41468269130169,53.41468269130169,53.41468269130169,0.875
8.933333333333334,53.82836200782053,53.82836200782053,53.82836200782053,0.875
8.95,54.241606873212255,54.241606873212255,54.241606873212255,0.875
8.966666666666667,54.65439114169579,54.65439114169579,54.65439114169579,0.875
8.983333333333333,55.066688726995984,55.066688726995984,55.066688726995984,0.875
9.0,55.47847360339225,55.47847360339225,55.47847360339225,0.875
9.016666666666666,55.889719806770565,55.889719806770565,55.889719806770565,0.875
9.033333333333333,56.30040143567984,56.30040143567984,56.30040143567984,0.875
9.05,56.71049265239111,56.71049265239111,56.71049265239111,0.875
9.066666666666666,57.11996768396074,57.11996768396074,57.11996768396074,0.875
9.083333333333334,57.5288008232962,57.5288008232962,57.5288008232962,0.875
9.1,57.93696643022491,57.93696643022491,57.93696643022491,0.875
9.116666666666667,58.34443893256594,58.34443893256594,58.34443893256594,0.875
9.133333333333333,58.751192827203624,58.751192827203624,58.751192827203624,0.875
9.15,59.157202681164264,59.157202681164264,59.157202681164264,0.875
9.166666666666666,59.562443132694085,59.562443132694085,59.562443132694085,0.875
9.183333333333334,59.966888892339654,59.966888892339654,59.966888892339654,0.875
9.2,60.37051474402973,60.37051474402973,60.37051474402973,0.875
9.216666666666667,60.77329554615866,60.77329554615866,60.77329554615866,0.875
9.233333333333333,61.175206232671165,61.175206232671165,61.175206232671165,0.875
9.25,61.57622181414828,61.57622181414828,61.57622181414828,0.875
9.266666666666666,61.97631737889411,61.97631737889411,61.97631737889411,0.875
9.283333333333333,62.37546809402368,62.37546809402368,62.37546809402368,0.875
9.3,62.773649206551156,62.773649206551156,62.773649206551156,0.875
9.316666666666666,63.170836044478584,63.170836044478584,63.170836044478584,0.875
9.333333333333334,63.56700401788529,63.56700401788529,63.56700401788529,0.875
9.35,63.96212862001671,63.96212862001671,63.96212862001671,0.875
9.366666666666667,64.35618542837415,64.35618542837415,64.35618542837415,0.875
9.383333333333333,64.74915010580331,64.74915010580331,64.74915010580331,0.875
